local_bsz,num_nodes,num_replicas,step_time,sync_time
6,14,58,1.573002476931294,1.1713132020752814
8,14,58,1.579774442556544,1.1666378621935742
4,14,62,1.658519942740742,1.268277973391687
6,14,62,1.6650817233936857,1.2633924485376733
8,14,62,1.6717062800938916,1.2585696997309217
4,14,66,1.7510562878079774,1.3608143184589223
6,14,66,1.7574816499098491,1.3557923750538365
8,14,66,1.7639692026879235,1.3508326223249536
4,14,70,1.8438637443968533,1.4536217750477982
6,14,70,1.850161954539385,1.4484726796833725
8,14,70,1.8565217486773542,1.4433851683143843
4,14,74,1.9369097784242646,1.5466678090752095
6,14,74,1.9430891025562775,1.541399827700265
8,14,74,1.9493293927804765,1.5361928124175066
4,14,78,2.0301670879548377,1.6399251186057826
6,14,78,2.0362349337835415,1.6345456589275291
8,14,78,2.0423631239296847,1.6292265435667148
4,14,82,2.1236125692778396,1.7333705999287845
6,14,82,2.1295756042433913,1.727886329387379
8,14,82,2.1355983632305002,1.7224617828675304
4,14,86,2.217226521835238,1.8269845524861827
6,14,86,2.2230907714417554,1.821401496585743
8,14,86,2.2290141301297783,1.8158775497668085
4,14,90,2.3109920295337667,1.9207500601847116
6,14,90,2.316762959792511,1.9150736849364987
8,14,90,2.322592392333694,1.9094558119707243
4,14,94,2.404894474061644,2.014652504712589
6,14,94,2.4105770610082002,2.008887786152188
8,14,94,2.4163175535511265,2.0031809731881567
4,14,98,2.4989211482132916,2.1086791788642367
6,14,98,2.5045199368464415,2.102830661990429
8,14,98,2.5101760458669253,2.0970394655039555
4,14,102,2.593060945839074,2.2028189764900192
6,14,102,2.598580100352465,2.1968908254964528
8,14,102,2.6041560024294323,2.1910194220664625
4,14,106,2.6873041111177063,2.2970621417686514
6,14,106,2.692747457924041,2.2910581830680288
8,14,106,2.6982469924215557,2.285110412058586
4,14,110,2.781642034200076,2.3914000648510205
6,14,110,2.7870130989566873,2.385323824100675
8,14,110,2.792439804792726,2.3793032244297563
4,15,15,0.6221494998149552,0.23190753046590007
6,15,15,0.6317274699876423,0.23003819513162982
8,15,15,0.6413549913882628,0.22821841102529294
4,15,19,0.7021949817750429,0.31195301242598783
6,15,19,0.7113377713133283,0.30964849645731585
8,15,19,0.7205360968707124,0.30739951650774255
4,15,23,0.7852053808208234,0.3949634114717683
6,15,23,0.7939634450800228,0.39227417022401034
8,15,23,0.8027809453619353,0.3896443649989655
4,15,27,0.8703746388391577,0.4801326694901026
6,15,27,0.8787920952154401,0.47710282035942764
8,15,27,0.8872714600698908,0.4741348797069209
4,15,31,0.9571717053867603,0.5669297360377052
6,15,31,0.9652862444430496,0.5635969695870371
8,15,31,0.9734641896316159,0.560327609268646
4,15,35,1.0452310222838355,0.6549890529347804
6,15,35,1.0530746345405906,0.6513853596845781
